Accident_ID,Speed,Traffic_Volume,Driver_Alcohol,Weather,Time_of_Day,Road_Type,Accident_Risk,Passenger_Count,Date,Road_Condition,Vehicle_Type,Driver_Experience_yrs,Severity
ACC01011,79.76091098,50.45261705,0.0,Fog,Morning,Rural,73.77211985,1.0,01-01-2023 00:10,Slippery,Car,37,Fatal
ACC01888,66.36091567,82.19041332,0.0,Fog,Night,Highway,83.48260548,1.0,01-01-2023 00:29,Slippery,Auto,17,Fatal
ACC00801,74.07425709,22.22914892,0.0,Clear,Afternoon,Highway,43.61510935,0.0,01-01-2023 20:07,Dry,Bus,23,Minor
ACC00753,45.36190121,75.05685269,1.0,Rain,Morning,Rural,84.81612484,4.0,02-01-2023 00:41,Slippery,Bus,27,Fatal
ACC01860,63.90482758,47.16948493,1.0,Clear,Night,Highway,92.20347857,4.0,02-01-2023 00:46,Dry,CAR,16,Fatal
ACC00694,69.2390341,71.14736611,0.0,Clear,Night,City,68.50890519,3.0,02-01-2023 05:50,Wet,Auto,1,Fatal
ACC02661,42.36608092,48.90443279,0.0,Fog,Morning,City,42.61392865,2.0,02-01-2023 07:33,Slippery,Truck,10,Minor
ACC02940,54.11293341,94.62997822,1.0,Clear,Night,Rural,70.348287,2.0,02-01-2023 09:56,Dry,Car,34,Fatal
ACC01818,,,,,,,,0.0,02-01-2023 12:31,Dry,Motorcycle,30,
ACC02677,65.24475071,53.59244545,0.0,Clear,Afternoon,Highway,44.43004442,1.0,02-01-2023 16:34,Wet,SUV,21,Minor
ACC00905,62.86648602,82.29557581,0.0,Rain,Night,Highway,87.18183244,0.0,02-01-2023 16:40,Slippery,Two-Wheeler,3,Fatal
ACC02408,72.44598627,73.00534792,0.0,Rain,Night,City,76.47456346,4.0,02-01-2023 20:22,Wet,Motorcycle,13,Fatal
ACC00402,51.00937466,61.39520714,0.0,Clear,Afternoon,Highway,39.73794011,5.0,02-01-2023 22:13,Dry,car,33,Minor
ACC02689,71.3518302,24.6372639,1.0,Fog,Night,City,77.83598982,5.0,02-01-2023 23:50,Dry,Car,6,Fatal
ACC01611,55.62283097,51.35677028,1.0,Clear,Morning,City,54.64123458,5.0,03-01-2023 02:25,Slippery,Car,33,Serious
ACC01623,73.78843402,32.25341082,0.0,Rain,Night,City,71.41036487,1.0,03-01-2023 05:26,Dry,car,1,Fatal
ACC02741,66.22298251,56.76714884,0.0,Clear,Morning,City,38.60527919,0.0,03-01-2023 08:27,Slippery,SUV,14,Minor
ACC00957,65.1408802,48.14111587,0.0,Rain,Afternoon,Highway,33.82762226,3.0,03-01-2023 09:24,Wet,SUV,30,Minor
ACC01954,50.19350492,69.39138052,0.0,Clear,Morning,City,46.83870162,4.0,03-01-2023 15:48,Slippery,Truck,15,Minor
ACC01433,72.90710233,54.53368497,0.0,Rain,Afternoon,City,55.8467692,5.0,03-01-2023 15:54,Slippery,Two-Wheeler,8,Serious
ACC00990,60.40328758,34.5077006,0.0,Clear,Afternoon,Rural,26.44507631,2.0,03-01-2023 18:21,,Motorcycle,29,Minor
ACC01072,67.15561241,35.90543129,0.0,Clear,Morning,Highway,36.50737413,0.0,04-01-2023 05:46,Dry,Bus,18,Minor
ACC02123,59.7110943,44.84759029,0.0,Clear,Night,City,38.56764534,4.0,04-01-2023 05:56,Slippery,Motorcycle,25,Minor
ACC02722,52.41379944,84.44310196,1.0,Fog,Afternoon,Highway,75.39380543,4.0,04-01-2023 09:30,Dry,Two-Wheeler,6,Fatal
ACC00667,56.17534174,64.62760505,0.0,Clear,Morning,Highway,37.99759533,2.0,04-01-2023 11:52,Dry,SUV,6,Minor
ACC02976,61.58630687,37.2282835,0.0,Rain,Afternoon,City,40.8550417,2.0,04-01-2023 12:59,Dry,Bus,10,Minor
ACC00514,46.38654507,15.0472698,0.0,Clear,Morning,Highway,32.04870255,2.0,04-01-2023 22:17,Slippery,truck,3,Minor
ACC00273,77.44745628,67.62815058,0.0,Clear,Night,Highway,61.54013338,5.0,05-01-2023 00:41,Dry,SUV,0,Serious
ACC01243,51.27478629,38.20215364,1.0,Clear,Night,Highway,85.45959682,5.0,05-01-2023 11:04,Slippery,truck,8,Fatal
ACC00475,84.6745157,35.65967702,0.0,Clear,Morning,Highway,46.336294,0.0,05-01-2023 11:44,Dry,Two-Wheeler,17,Minor
ACC00799,60.42477564,30.13282601,0.0,Clear,Afternoon,City,23.72045721,2.0,05-01-2023 13:31,Wet,Two-Wheeler,23,Minor
ACC02497,55.81555605,47.42907413,0.0,Rain,Afternoon,Rural,63.75185127,3.0,05-01-2023 16:48,Dry,car,23,Serious
ACC00468,71.36261565,52.63855934,0.0,Clear,Night,Highway,70.59860566,4.0,05-01-2023 18:28,Dry,SUV,22,Fatal
ACC00650,70.44309547,41.37748861,1.0,Clear,Morning,Highway,66.48542487,2.0,06-01-2023 03:09,Slippery,car,16,Fatal
ACC02596,26.29665999,15.14456052,0.0,Rain,Night,Rural,26.12552211,4.0,06-01-2023 10:21,Slippery,Truck,22,Minor
ACC02084,,,,,,,,1.0,06-01-2023 15:47,Dry,Car,1,
ACC01333,56.79835694,65.09466596,0.0,Clear,Morning,City,65.10531172,1.0,06-01-2023 17:04,Wet,CAR,3,Fatal
ACC02252,82.66732395,39.22852653,0.0,Clear,Morning,Rural,48.84522481,2.0,06-01-2023 17:09,Dry,Bus,20,Serious
ACC00336,57.79413928,23.15744503,0.0,Clear,Morning,Rural,43.42661848,,06-01-2023 17:56,Dry,Two-Wheeler,27,Minor
ACC02036,101.3949006,97.88723801,0.0,Fog,Afternoon,Rural,97.12320389,1.0,07-01-2023 00:56,Wet,Motorcycle,31,Fatal
ACC02323,66.86659299,71.68396488,1.0,Clear,Afternoon,City,69.12732723,2.0,07-01-2023 01:16,Slippery,Bus,12,Fatal
ACC01017,50.22872995,40.38332421,0.0,Clear,Night,Highway,38.46116037,4.0,07-01-2023 10:51,Dry,Auto,11,Minor
ACC02733,68.4432129,70.45682943,0.0,Rain,Afternoon,City,82.81246893,2.0,07-01-2023 21:02,Slippery,truck,3,Fatal
ACC01995,65.27172311,36.85254892,0.0,Clear,Afternoon,City,39.7892918,5.0,09-01-2023 00:48,Slippery,Car,14,Minor
ACC00114,96.94863169,25.81046129,1.0,Clear,Afternoon,City,67.66667901,4.0,09-01-2023 01:55,Wet,Bus,4,Fatal
ACC01835,50.81343938,11.77366217,0.0,Fog,Night,Rural,60.25576309,1.0,10-01-2023 00:42,Wet,Car,38,Serious
ACC00304,69.15555398,29.48494633,0.0,Rain,Afternoon,Highway,52.35361059,2.0,10-01-2023 08:23,Slippery,Truck,35,Serious
ACC00608,41.33017945,71.63969618,0.0,Clear,Afternoon,City,30.08712201,1.0,10-01-2023 21:17,Dry,Motorcycle,28,Minor
ACC00759,47.1246333,55.54716924,0.0,Clear,Afternoon,Highway,38.22558494,2.0,11-01-2023 00:05,Slippery,Auto,30,Minor
ACC00415,64.98471018,38.99769434,1.0,Fog,Morning,Rural,76.34689292,0.0,12-01-2023 12:47,Dry,SUV,5,Fatal
ACC01149,83.91757595,39.7043465,0.0,Rain,Night,City,57.47808793,1.0,12-01-2023 22:16,Dry,Bus,35,Serious
ACC00257,79.00366724,32.37863327,0.0,Clear,Night,City,57.69937213,1.0,13-01-2023 04:37,Wet,CAR,38,Serious
ACC02415,75.264922,35.81137685,1.0,Fog,Morning,City,74.78037379,3.0,13-01-2023 09:34,Dry,Truck,14,Fatal
ACC00347,38.27873488,44.31230701,1.0,Rain,Morning,Highway,60.76254624,5.0,13-01-2023 17:11,Dry,CAR,8,Serious
ACC00542,43.05439718,79.02002876,0.0,Rain,Night,Highway,74.19753737,1.0,14-01-2023 04:01,Slippery,Bus,1,Fatal
ACC01806,36.23796085,18.08212063,0.0,Fog,Morning,City,37.14908281,4.0,14-01-2023 11:30,Wet,Two-Wheeler,38,Minor
ACC02144,63.65929797,41.85079785,0.0,Clear,Night,Rural,68.15133304,2.0,14-01-2023 18:18,Dry,CAR,24,Fatal
ACC02778,56.37753831,42.88051831,0.0,Clear,Morning,City,53.46804027,0.0,15-01-2023 03:58,Dry,car,24,Serious
ACC02658,73.35371251,49.11277089,0.0,Fog,Night,City,82.64817521,4.0,15-01-2023 09:03,Wet,Motorcycle,25,Fatal
ACC00536,60.71098007,81.88884783,0.0,Rain,Afternoon,Rural,58.62859517,4.0,15-01-2023 10:34,Slippery,Motorcycle,12,Serious
ACC00441,65.76098173,52.91042396,1.0,Clear,Night,Highway,74.30970189,4.0,15-01-2023 12:42,Wet,CAR,13,Fatal
ACC01111,57.13976399,72.92060288,1.0,Clear,Afternoon,Highway,67.81388084,4.0,15-01-2023 13:17,Dry,CAR,10,Fatal
ACC00980,71.40621984,29.00689002,0.0,Clear,Afternoon,Rural,50.90194061,0.0,15-01-2023 19:29,Dry,car,28,Serious
ACC01811,52.75408422,65.12976709,0.0,Rain,Night,Highway,44.93920842,3.0,16-01-2023 00:54,Dry,Auto,0,Minor
ACC00917,69.11844765,48.25129342,0.0,Clear,Afternoon,City,43.62816823,5.0,16-01-2023 04:21,Slippery,Truck,30,Minor
ACC00932,88.21735604,80.56062719,1.0,Rain,Morning,City,76.15925641,1.0,16-01-2023 06:21,Dry,CAR,26,Fatal
ACC01257,85.0885858,33.27875696,0.0,Rain,Afternoon,Highway,57.24991802,4.0,16-01-2023 07:16,Dry,Auto,10,Serious
ACC00984,59.28432966,27.53011934,0.0,Rain,Morning,Rural,58.53258807,1.0,16-01-2023 07:33,Wet,Bus,24,Serious
ACC00152,65.19672314,42.61585599,0.0,Rain,Afternoon,Highway,54.23428325,1.0,16-01-2023 09:18,Dry,Auto,10,Serious
ACC02660,68.2987683,36.56975586,0.0,Rain,Morning,Highway,77.5063305,4.0,16-01-2023 14:37,Slippery,CAR,39,Fatal
ACC00708,86.32191273,77.04405358,0.0,Rain,Afternoon,City,59.79477016,3.0,16-01-2023 18:47,Wet,truck,21,Serious
ACC00971,61.92156622,42.05609368,0.0,Rain,Night,City,47.99661404,1.0,17-01-2023 05:55,Slippery,Motorcycle,9,Minor
ACC01090,57.05475226,42.25276071,0.0,Fog,Night,Highway,71.96392861,2.0,17-01-2023 11:34,Wet,truck,17,Fatal
ACC02575,99.31189637,30.4014885,0.0,Clear,Morning,City,46.2427097,1.0,17-01-2023 16:49,Dry,Two-Wheeler,30,Minor
ACC00385,48.61301008,72.11800849,0.0,Rain,Afternoon,Rural,48.94311684,5.0,18-01-2023 03:23,Wet,CAR,38,Serious
ACC00934,27.01791065,65.21693309,0.0,Clear,Night,Highway,40.14099981,4.0,18-01-2023 12:10,Wet,Car,12,Minor
ACC02922,71.17507969,53.22599085,0.0,Clear,Morning,Rural,43.09044185,0.0,19-01-2023 00:24,Dry,Car,39,Minor
ACC00856,51.43880559,46.9740156,1.0,Clear,Night,Highway,52.87279882,1.0,19-01-2023 01:54,Dry,car,14,Serious
ACC01082,54.76113444,36.03600651,0.0,Rain,Afternoon,City,34.50124152,3.0,19-01-2023 18:18,Slippery,CAR,18,Minor
ACC02942,53.00256931,65.4280359,0.0,Clear,Morning,Rural,68.99897746,2.0,19-01-2023 21:42,Slippery,Auto,14,Fatal
ACC02223,71.16287957,45.50293888,0.0,Clear,Night,Rural,72.08955222,2.0,19-01-2023 23:08,Dry,car,22,Fatal
ACC00675,38.88732458,48.7062279,1.0,Fog,Morning,Highway,64.49057612,0.0,20-01-2023 04:03,Dry,Bus,7,Fatal
ACC00498,57.14491983,49.03822985,0.0,Clear,Night,City,47.89622079,5.0,20-01-2023 06:53,Dry,SUV,28,Minor
ACC01022,51.39449994,21.52634726,0.0,Clear,Morning,Rural,24.95195492,0.0,20-01-2023 09:17,Wet,SUV,9,Minor
