Speed,Traffic_Volume,Driver_Alcohol,Weather,Time_of_Day,Road_Type,Accident_Risk,Road_Condition,Severity
79.76091098,50.45261705,0.0,1,1,2,73.77211985,1,0
66.36091567,82.19041332,0.0,1,2,1,83.48260548,1,0
74.07425709,22.22914892,0.0,0,0,1,43.61510935,0,1
45.36190121,75.05685269,1.0,2,1,2,84.81612484,1,0
63.90482758,47.16948493,1.0,0,2,1,92.20347857,0,0
69.2390341,71.14736611,0.0,0,2,0,68.50890519,2,0
42.36608092,48.90443279,0.0,1,1,0,42.61392865,1,1
54.11293341,94.62997822,1.0,0,2,2,70.348287,0,0
60.52248674589807,49.3578918911513,0.0,0,2,0,53.014015269036996,0,1
65.24475071,53.59244545,0.0,0,0,1,44.43004442,2,1
62.86648602,82.29557581,0.0,2,2,1,87.18183244,1,0
72.44598627,73.00534792,0.0,2,2,0,76.47456346,2,0
51.00937466,61.39520714,0.0,0,0,1,39.73794011,0,1
71.3518302,24.6372639,1.0,1,2,0,77.83598982,0,0
55.62283097,51.35677028,1.0,0,1,0,54.64123458,1,2
73.78843402,32.25341082,0.0,2,2,0,71.41036487,0,0
66.22298251,56.76714884,0.0,0,1,0,38.60527919,1,1
65.1408802,48.14111587,0.0,2,0,1,33.82762226,2,1
50.19350492,69.39138052,0.0,0,1,0,46.83870162,1,1
72.90710233,54.53368497,0.0,2,0,0,55.8467692,1,2
60.40328758,34.5077006,0.0,0,0,2,26.44507631,0,1
67.15561241,35.90543129,0.0,0,1,1,36.50737413,0,1
59.7110943,44.84759029,0.0,0,2,0,38.56764534,1,1
52.41379944,84.44310196,1.0,1,0,1,75.39380543,0,0
56.17534174,64.62760505,0.0,0,1,1,37.99759533,0,1
61.58630687,37.2282835,0.0,2,0,0,40.8550417,0,1
46.38654507,15.0472698,0.0,0,1,1,32.04870255,1,1
77.44745628,67.62815058,0.0,0,2,1,61.54013338,0,2
51.27478629,38.20215364,1.0,0,2,1,85.45959682,1,0
84.6745157,35.65967702,0.0,0,1,1,46.336294,0,1
60.42477564,30.13282601,0.0,0,0,0,23.72045721,2,1
55.81555605,47.42907413,0.0,2,0,2,63.75185127,0,2
71.36261565,52.63855934,0.0,0,2,1,70.59860566,0,0
70.44309547,41.37748861,1.0,0,1,1,66.48542487,1,0
26.29665999,15.14456052,0.0,2,2,2,26.12552211,1,1
60.52248674589807,49.3578918911513,0.0,0,2,0,53.014015269036996,0,1
56.79835694,65.09466596,0.0,0,1,0,65.10531172,2,0
82.66732395,39.22852653,0.0,0,1,2,48.84522481,0,2
57.79413928,23.15744503,0.0,0,1,2,43.42661848,0,1
101.3949006,97.88723801,0.0,1,0,2,97.12320389,2,0
66.86659299,71.68396488,1.0,0,0,0,69.12732723,1,0
50.22872995,40.38332421,0.0,0,2,1,38.46116037,0,1
68.4432129,70.45682943,0.0,2,0,0,82.81246893,1,0
65.27172311,36.85254892,0.0,0,0,0,39.7892918,1,1
96.94863169,25.81046129,1.0,0,0,0,67.66667901,2,0
50.81343938,11.77366217,0.0,1,2,2,60.25576309,2,2
69.15555398,29.48494633,0.0,2,0,1,52.35361059,1,2
41.33017945,71.63969618,0.0,0,0,0,30.08712201,0,1
47.1246333,55.54716924,0.0,0,0,1,38.22558494,1,1
64.98471018,38.99769434,1.0,1,1,2,76.34689292,0,0
83.91757595,39.7043465,0.0,2,2,0,57.47808793,0,2
79.00366724,32.37863327,0.0,0,2,0,57.69937213,2,2
75.264922,35.81137685,1.0,1,1,0,74.78037379,0,0
38.27873488,44.31230701,1.0,2,1,1,60.76254624,0,2
43.05439718,79.02002876,0.0,2,2,1,74.19753737,1,0
36.23796085,18.08212063,0.0,1,1,0,37.14908281,2,1
63.65929797,41.85079785,0.0,0,2,2,68.15133304,0,0
56.37753831,42.88051831,0.0,0,1,0,53.46804027,0,2
73.35371251,49.11277089,0.0,1,2,0,82.64817521,2,0
60.71098007,81.88884783,0.0,2,0,2,58.62859517,1,2
65.76098173,52.91042396,1.0,0,2,1,74.30970189,2,0
57.13976399,72.92060288,1.0,0,0,1,67.81388084,0,0
71.40621984,29.00689002,0.0,0,0,2,50.90194061,0,2
52.75408422,65.12976709,0.0,2,2,1,44.93920842,0,1
69.11844765,48.25129342,0.0,0,0,0,43.62816823,1,1
88.21735604,80.56062719,1.0,2,1,0,76.15925641,0,0
85.0885858,33.27875696,0.0,2,0,1,57.24991802,0,2
59.28432966,27.53011934,0.0,2,1,2,58.53258807,2,2
65.19672314,42.61585599,0.0,2,0,1,54.23428325,0,2
68.2987683,36.56975586,0.0,2,1,1,77.5063305,1,0
86.32191273,77.04405358,0.0,2,0,0,59.79477016,2,2
61.92156622,42.05609368,0.0,2,2,0,47.99661404,1,1
57.05475226,42.25276071,0.0,1,2,1,71.96392861,2,0
99.31189637,30.4014885,0.0,0,1,0,46.2427097,0,1
48.61301008,72.11800849,0.0,2,0,2,48.94311684,2,2
27.01791065,65.21693309,0.0,0,2,1,40.14099981,2,1
71.17507969,53.22599085,0.0,0,1,2,43.09044185,0,1
51.43880559,46.9740156,1.0,0,2,1,52.87279882,0,2
54.76113444,36.03600651,0.0,2,0,0,34.50124152,1,1
53.00256931,65.4280359,0.0,0,1,2,68.99897746,1,0
71.16287957,45.50293888,0.0,0,2,2,72.08955222,0,0
38.88732458,48.7062279,1.0,1,1,1,64.49057612,0,0
57.14491983,49.03822985,0.0,0,2,0,47.89622079,0,1
51.39449994,21.52634726,0.0,0,1,2,24.95195492,2,1
86.03945705,48.41865316,0.0,0,2,0,60.63532783,2,2
70.28261608,45.30151457,1.0,0,2,1,62.78533218,2,2
35.88508459,23.96824034,0.0,0,1,2,18.36377706,0,1
61.28839509,60.09163629,0.0,0,0,2,43.17959006,1,1
20.0,72.07867093,1.0,0,2,0,61.6723885,0,2
70.22929457,48.92190302,1.0,2,2,1,97.61429929,2,0
38.34217776,51.68933573,1.0,0,2,0,61.56307026,2,2
60.52248674589807,49.3578918911513,0.0,0,2,0,53.014015269036996,0,1
63.98817344,60.08575707,0.0,2,2,0,56.23658246,0,2
78.57424607,59.6148916,1.0,2,2,0,74.24814472,2,0
66.83831658,28.83118733,0.0,0,2,0,36.21660847,2,1
74.52967486,65.19424591,0.0,0,0,0,41.77690376,2,1
60.10199767,50.31395592,0.0,1,1,0,47.45686404,0,1
65.06403993,13.19844511,0.0,2,2,2,68.34627192,2,0
36.53637582,63.08862054,1.0,0,0,1,55.43111595,2,2
79.52611934,36.27441728,0.0,1,1,2,72.65219315,1,0
55.19479038,39.64614854,0.0,2,2,1,74.95356847,0,0
69.33104985,47.90064585,1.0,0,0,1,42.94488945,1,1
48.18324372,71.25314582,0.0,0,1,0,36.23851385,1,1
47.47285648,60.99366373,0.0,0,0,1,39.06414289,2,1
75.48819307,53.81833048,1.0,2,0,2,77.37379156,0,0
74.38906239,86.14393287,0.0,0,2,1,56.21544145,2,2
56.93293169,30.47199903,0.0,1,0,2,44.38690463,0,1
48.02554133,53.15522879,1.0,2,0,2,59.45458656,1,2
45.65345435,97.63427063,0.0,0,0,1,40.76020381,0,1
56.95431921,79.33081719,0.0,0,2,0,50.45795935,2,2
27.72276898,76.4082802,1.0,2,0,0,45.60346425,2,1
47.5146664,22.08421596,1.0,2,2,1,66.8505942,2,0
40.61605957,32.98773494,1.0,1,2,1,86.29397054,0,0
55.12752925,51.6833646,0.0,0,0,2,41.68898928,1,1
58.75978971,46.44164248,0.0,0,1,0,46.12702245,1,1
49.42482216,48.16587952,0.0,0,1,1,39.96645879,0,1
64.66361348,39.61207256,0.0,0,2,2,62.21013871,2,2
59.04713138,80.8064796,0.0,0,0,0,51.57673191,1,2
62.04802997,39.34549004,0.0,0,2,1,44.42128958,2,1
60.6540367,50.30365885,1.0,0,0,0,55.8721284,0,2
43.2521334,40.22227762,0.0,0,0,0,26.79543626,2,1
59.67949058,28.59616874,0.0,0,1,1,38.88393657,1,1
50.26083682,50.50421735,0.0,2,2,0,64.80903211,1,0
66.60712107,40.08243656,1.0,1,1,2,80.69428131,2,0
72.21227643,63.68326417,0.0,2,1,2,57.80924812,0,2
60.01808213,70.96965302,1.0,1,2,1,101.3415433,2,0
31.65688904,53.83154792,0.0,2,0,1,42.23092049,0,1
73.11583771,50.38916511,0.0,0,1,0,54.59851415,2,2
74.76483598,30.63908483,0.0,2,2,1,68.82145819,1,0
44.51214145,43.20481985,0.0,0,0,1,32.80457986,0,1
76.60621004,37.83298471,0.0,0,0,1,51.16582363,0,2
59.44166645,78.41008575,0.0,0,0,1,53.8271046,0,2
46.20923113,39.97531784,1.0,0,1,2,41.66866333,1,1
70.20324158,73.8217171,0.0,0,0,2,43.1445,2,1
71.0769987,62.20432339,0.0,1,2,0,79.35795013,1,0
66.89958214,60.29767192,0.0,1,1,2,70.74404988,0,0
37.26383828,34.21322989,0.0,2,0,0,54.37133921,2,2
65.5093097,81.85339997,0.0,0,2,1,54.19831081,1,2
57.14245341,19.11132304,0.0,0,2,1,37.26899297,0,1
93.15784502,50.17112162,0.0,2,1,1,77.18551648,0,0
53.3993327,54.62891845,0.0,0,1,1,39.31522697,1,1
83.42266795,21.34657421,0.0,0,0,2,44.9339579,1,1
53.20157926,57.58810795,0.0,2,2,0,53.35879157,1,2
40.3167121,35.09664459,0.0,2,1,0,44.74712849,0,1
47.4697942,56.48917209,0.0,0,1,2,27.217171,1,1
85.87044975,71.63028173,0.0,1,1,1,84.5814259,0,0
41.31391832,37.64716646,0.0,2,0,2,40.75446104,0,1
43.63550355,52.93870597,1.0,0,0,1,48.47886386,0,2
73.78614724,28.89821264,0.0,2,1,2,47.8294138,0,1
49.45235362,50.35226504,0.0,0,0,1,37.76233618,2,1
48.79182481,84.38081226,0.0,0,2,2,66.08946531,0,0
41.640896,19.13763544,0.0,2,0,0,40.68018503,1,1
65.12633964,33.67565511,0.0,2,2,0,60.61353313,0,2
38.90523804,55.58167717,0.0,1,1,0,54.69444023,0,2
77.22668564,47.88362485,1.0,0,2,0,83.3016727,0,0
61.15232837,19.24830407,0.0,0,1,2,26.11089469,2,1
60.42271736,37.39950041,0.0,1,2,0,60.5561203,2,2
75.8763673,58.88396655,0.0,2,2,1,66.69501333,0,0
35.085586,76.06556075,0.0,2,1,2,35.23512749,1,1
49.46920359,48.11082571,1.0,0,0,2,70.87438581,1,0
98.84345463,45.41235336,0.0,0,1,1,45.74890762,2,1
87.98661767,25.25146724,0.0,2,1,1,57.2865704,2,2
68.79546028,51.99773909,1.0,0,0,1,61.69198499,0,2
46.49068898,29.4005545,0.0,0,2,2,21.60014258,1,1
57.36218393,95.51650855,0.0,0,1,1,46.65921372,0,1
77.47109032,86.41087816,0.0,2,0,2,64.84801078,2,0
61.83014722,49.77815992,0.0,1,1,1,45.31048592,1,1
63.19794942,46.99766097,0.0,0,1,1,50.85373987,1,2
47.99942153,73.72290948,0.0,1,0,2,65.82353863,2,0
72.71132516,57.13945519,1.0,1,2,0,110.3098445,0,0
71.35482925,33.52129026,0.0,0,1,0,43.54108047,0,1
24.55601347,49.83773597,0.0,0,1,1,30.99402536,0,1
70.62321635,67.37545001,0.0,0,0,2,45.71592852,2,1
32.4569194,40.84733501,0.0,0,2,2,30.89914731,1,1
50.31053731,82.70132789,1.0,2,0,0,59.31209548,2,2
35.80926193,63.904058,0.0,0,2,2,48.24807774,0,1
53.82184551,49.35438778,0.0,2,0,1,52.62841117,2,2
63.23094758,19.59426416,0.0,2,0,1,38.75177523,0,1
61.14008087,44.26411529,0.0,2,0,2,54.41562268,2,2
58.67455561,28.71559986,0.0,0,0,2,41.95529817,1,1
43.32049461,10.85322822,0.0,0,1,1,39.05995379,0,1
76.36470638,45.65682386,0.0,0,0,2,45.15005741,1,1
39.55238993,38.17430422,0.0,0,1,2,37.70850315,1,1
45.42578942,30.71599857,0.0,1,1,0,30.93073696,0,1
71.33086839,59.50861365,0.0,2,2,2,62.87483068,0,2
82.96126249,63.62724653,0.0,0,1,1,46.59445426,1,1
73.30936256,49.57510441,0.0,0,2,0,44.44292461,1,1
51.11466067,61.11882903,0.0,0,0,0,43.11075999,1,1
86.91836795,73.83798669,1.0,0,0,1,90.47010997,1,0
53.45421164,38.61100451,0.0,2,1,2,61.17532627,0,2
73.96920179,32.86455812,0.0,0,0,2,42.85476507,0,1
38.04727578,75.58929863,0.0,1,0,0,58.9838819,1,2
77.51673092,56.93419955,1.0,0,1,1,56.01467318,0,2
40.21129208,37.11319466,0.0,0,0,1,31.07105079,2,1
71.19380349,21.86369981,0.0,2,0,0,39.14501971,0,1
55.30412954,29.48263788,0.0,2,2,1,64.88023487,1,0
37.11712244,60.75259806,0.0,2,1,2,50.55262004,1,2
46.65728356,31.08507879,1.0,2,0,2,51.33329561,0,2
84.23374235,77.4782877,0.0,2,1,1,77.86030219,2,0
48.55070844,55.8707506,1.0,1,2,2,87.70087776,2,0
59.6370659,38.47160847,0.0,0,2,1,53.01849276,2,2
61.32986386,62.1905209,0.0,2,0,2,61.49932575,0,2
50.52633406,21.90366112,1.0,0,0,0,40.7059778,2,1
64.88694475,62.53227275,0.0,2,0,2,66.18229321,0,0
85.53322417,40.04855003,0.0,0,1,1,45.22614192,0,1
106.6487783,71.64224626,0.0,0,0,0,44.73828934,1,1
53.83778568,39.5573686,1.0,0,1,2,41.34096345,2,1
42.78462915,66.6720641,0.0,0,1,2,35.47690154,0,1
68.27228064,65.93403854,0.0,2,1,0,82.10662271,2,0
