
Date,Speed,Weather,Road_Condition,Vehicle_Type,Time,Seatbelt/Helmet,Severity
2025/01/01,45,Sunny,Dry,Bike,Day,1,Minor
2025-01-02,60,Rainy,W,Car,Night,0,Serious
2025-01-03,80,Foggy,Wet,Truck,Night,,Fatal
2025-01-04,50,Sunny,Dry,Car,Day,1,Minor
2025-01-05,70,Rainy,W,Bike,Night,0,Serious
,90,Foggy,W,Truck,Night,0,Fatal
2025-01-07,,Sunny,Dry,Bike,Day,1,Minor
2025-01-08,65,,W,Car,Night,0,Serious
2025-01-09,85,Foggy,,Truck,,,Fatal
2025-01-10,40,Sunny,D,Bike,Day,1,Minor
2025-01-11,75,Rainy,Wet,,Night,0,Serious
2025-01-12,95,Foggy,W,Truck,Night,0,Fatal
2025-01-13,35,Sunny,D,Bike,Day,,Minor
2025-01-14,68,Rainy,W,Car,,,Serious
2025-01-15,,Foggy,W,Truck,Night,0,Fatal
2025-01-16,48,Sunny,D,,Day,1,Minor
2025-01-17,72,Rainy,Wet,Car,Night,,Serious
2025-01-18,92,Foggy,W,Truck,Night,0,Fatal
,52,Sunny,D,Car,Day,1,Minor
2025-01-20,78,Rainy,W,Bike,Night,0,Serious
2025-01-21,98,Foggy,W,Truck,Night,0,Fatal
2025-01-22,,Sunny,Dry,Bike,,1,Minor
2025-01-23,67,,W,Car,Night,0,Serious
2025-01-24,87,Foggy,W,Truck,,,Fatal
2025-01-25,49,Sunny,D,Bike,Day,1,Minor
2025-01-26,73,Rainy,W,Car,Night,0,Serious
2025-01-27,93,Foggy,W,,Night,0,Fatal
2025-01-28,41,Sunny,,Bike,Day,1,Minor
2025-01-29,69,Rainy,W,Car,Night,,Serious
2025-01-30,89,Foggy,W,Truck,Night,0,Fatal
2025-01-31,,Sunny,D,Bike,Day,1,Minor
2025-02-01,71,Rainy,W,Car,Night,0,Serious
2025-02-02,91,Foggy,W,Truck,Night,,Fatal
2025-02-03,54,Sunny,D,Car,,1,Minor
2025/02/04,76,Rainy,W,Bike,Night,0,Serious
2025-02-05,,Foggy,W,Truck,Night,0,Fatal
2025-02-06,44,Sunny,D,Bike,Day,,Minor
2025-02-07,66,Rainy,W,,Night,0,Serious
2025/02/08,86,,W,Truck,Night,0,Fatal
2025-02-09,47,Sunny,D,Bike,Day,1,Minor
2025-02-10,74,Rainy,W,Car,Night,,Serious
2025/02/11,94,Foggy,W,Truck,Night,0,Fatal
2025-02-12,,Sunny,Dry,Car,Day,1,Minor
2025-02-13,77,Rainy,W,Bike,,0,Serious
2025-02-14,97,Foggy,W,Truck,Night,,Fatal
2025-02-15,42,Sunny,D,Bike,Day,1,Minor
2025-02-16,64,Rainy,Wet,Car,Night,0,Serious
2025/02/17,84,Foggy,W,Truck,Night,0,Fatal
2025-02-18,51,Sunny,D,,Day,,Minor
2025-02-19,79,Rainy,W,Bike,Night,0,Serious

